"design_set","design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","groups","group_means","rank_null_true","fisher_rejection","fisher_mc_se","welch_rejection","welch_mc_se","levene_route_rejection","levene_route_mc_se","rank_rejection","rank_mc_se","sw_rejection","sw_mc_se","sw_gate_rejection","sw_gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"brunner","balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","normal",1,0,0,4,"0, 0, 0, 0",TRUE,0.0486,0.000961644840884617,0.0489,0.000964456219846189,0.05086,0.000982580891326511,0.04338,0.000911023332302746,0.04992,0.000973940384212504,0.05206,0.000993476284568484,0.88846,0.06278,0.04876
"brunner","balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,4,"0, 0, 0, 0",TRUE,0.0434,0.000911223792490078,0.03586,0.000831553490762921,0.04282,0.000905388840222807,0.04364,0.000913625201053474,0.04262,0.000903366322152868,0.04992,0.000973940384212504,0.51058,0.04674,0.44268
"brunner","balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,4,"0, 0, 0, 0",FALSE,0.0483,0.00095882334139298,0.0474,0.000950297216664344,0.04994,0.000974125211664291,0.04434,0.000920586382693118,0.04964,0.000971348242393015,0.05348,0.00100617980102962,0.76028,0.06548,0.17424
"brunner","balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,4,"0, 0, 0, 0",FALSE,0.04648,0.000941484037039397,0.05168,0.000990042197080508,0.0487,0.000962583087322855,0.04472,0.000924338916199031,0.05288,0.00100083670596157,0.05396,0.00101042880402332,0.49054,0.072,0.43746
"brunner","balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,4,"0, 0, 0, 0",FALSE,0.04332,0.000910421634189346,0.05148,0.000988228815609017,0.04612,0.000938007948793612,0.0443,0.000920190306404061,0.05018,0.000976339772825014,0.0511,0.000984771953296803,0.07966,0.04238,0.87796
"brunner","balanced n, unequal SD",10,"10, 10, 10, 10","1.0000, 1.4142, 2.0000, 2.2361","normal",1,0,0,4,"0, 0, 0, 0",TRUE,0.06,0.00106207344378814,0.05164,0.000989679851265044,0.06188,0.00107750513316643,0.05168,0.000990042197080508,0.05464,0.0010164100589821,0.0647,0.00110012644727777,0.49278,0.39038,0.11684
"brunner","balanced n, unequal SD",10,"10, 10, 10, 10","1.0000, 1.4142, 2.0000, 2.2361","F.P.",2,0,6,4,"0, 0, 0, 0",TRUE,0.05376,0.00100866111653022,0.03734,0.000847888252070991,0.04846,0.000960329405985259,0.04978,0.000972645378336832,0.04844,0.000960141306266947,0.05608,0.00102893181115174,0.30594,0.14114,0.55292
"brunner","balanced n, unequal SD",10,"10, 10, 10, 10","1.0000, 1.4142, 2.0000, 2.2361","F.P.",3,0.5,1,4,"0, 0, 0, 0",FALSE,0.05832,0.0010480341368486,0.04834,0.000959200129274387,0.05806,0.0010458397238583,0.05182,0.000991309110217393,0.05356,0.00100688953118006,0.06274,0.00108446938546,0.43152,0.31092,0.25756
"brunner","balanced n, unequal SD",10,"10, 10, 10, 10","1.0000, 1.4142, 2.0000, 2.2361","F.P.",4,1,1.6,4,"0, 0, 0, 0",FALSE,0.06038,0.00106521599312064,0.0591,0.00105458228697433,0.06406,0.00109504626751567,0.06148,0.00107424587129763,0.06604,0.0011106639311691,0.07114,0.00114960080375755,0.29058,0.27408,0.43534
"brunner","balanced n, unequal SD",10,"10, 10, 10, 10","1.0000, 1.4142, 2.0000, 2.2361","F.P.",5,2,6.6,4,"0, 0, 0, 0",FALSE,0.0593,0.00105625290532145,0.07478,0.00117633287465751,0.06894,0.00113302494588601,0.09338,0.00130123153666056,0.0968,0.00132234458444083,0.09772,0.00132793675753027,0.05952,0.09636,0.84412
