"grid","design","panel","sd_per_group","group_mean_offsets","eta_h_sq_own","rel_effects","constraint_residual"
"legacy","balanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0701539191699406,"0.3972, 0.4659, 0.5348, 0.6021",-4.44089209850063e-16
"legacy","balanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.107000332150468,"0.3736, 0.4570, 0.5429, 0.6265",-1.11022302462516e-16
"legacy","balanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0769347547440215,"0.3926, 0.4642, 0.5358, 0.6074",-5.55111512312578e-17
"legacy","balanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0836034228973612,"0.3878, 0.4626, 0.5379, 0.6116",-3.33066907387547e-16
"legacy","balanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.127321819839602,"0.3631, 0.4512, 0.5478, 0.6379",-4.44089209850063e-16
"legacy","unbalanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0606937936065387,"0.3684, 0.4352, 0.5058, 0.5738",5.55111512312578e-16
"legacy","unbalanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0916563589248151,"0.3397, 0.4197, 0.5061, 0.5913",0
"legacy","unbalanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0659803819496058,"0.3634, 0.4327, 0.5049, 0.5775",-5.55111512312578e-16
"legacy","unbalanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0729461209510884,"0.3557, 0.4294, 0.5057, 0.5812",-8.88178419700125e-16
"legacy","unbalanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.109497116043703,"0.3268, 0.4110, 0.5060, 0.6004",-4.9960036108132e-16
"legacy","balanced n, unequal SD",1,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211",0.07139153139875,"0.3879, 0.4752, 0.5437, 0.5933",1.11022302462516e-15
"legacy","balanced n, unequal SD",2,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211",0.113799605224234,"0.3589, 0.4678, 0.5551, 0.6182",2.22044604925031e-16
"legacy","balanced n, unequal SD",3,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211",0.0690804445874752,"0.3890, 0.4766, 0.5434, 0.5910",-5.55111512312578e-17
"legacy","balanced n, unequal SD",4,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211",0.0562119399094967,"0.3985, 0.4806, 0.5410, 0.5799",-3.33066907387547e-16
"legacy","balanced n, unequal SD",5,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211",0.0677365575303114,"0.3862, 0.4823, 0.5473, 0.5842",0
"legacy","unbalanced n, larger n with larger SD",1,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211",0.0577908791193737,"0.3601, 0.4426, 0.5136, 0.5664",8.88178419700125e-16
"legacy","unbalanced n, larger n with larger SD",2,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211",0.0920331629739203,"0.3236, 0.4272, 0.5172, 0.5838",-2.77555756156289e-16
"legacy","unbalanced n, larger n with larger SD",3,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211",0.0538012060360012,"0.3638, 0.4456, 0.5135, 0.5636",-3.33066907387547e-16
"legacy","unbalanced n, larger n with larger SD",4,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211",0.0435564298729149,"0.3738, 0.4542, 0.5134, 0.5558",-4.44089209850063e-16
"legacy","unbalanced n, larger n with larger SD",5,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211",0.0508085182454534,"0.3604, 0.4531, 0.5165, 0.5583",-7.7715611723761e-16
"legacy","unbalanced n, larger n with smaller SD",1,"2.2, 1.7, 1.3, 1.0","0.000, 0.404, 0.807, 1.211",0.0673050311257509,"0.3789, 0.4266, 0.4936, 0.5846",2.22044604925031e-16
"legacy","unbalanced n, larger n with smaller SD",2,"2.2, 1.7, 1.3, 1.0","0.000, 0.404, 0.807, 1.211",0.108296435477004,"0.3452, 0.4072, 0.4927, 0.6070",1.11022302462516e-15
"legacy","unbalanced n, larger n with smaller SD",3,"2.2, 1.7, 1.3, 1.0","0.000, 0.404, 0.807, 1.211",0.0850613101129715,"0.3640, 0.4170, 0.4933, 0.5950",-2.77555756156289e-16
"legacy","unbalanced n, larger n with smaller SD",4,"2.2, 1.7, 1.3, 1.0","0.000, 0.404, 0.807, 1.211",0.103192572042188,"0.3518, 0.4069, 0.4931, 0.6046",-3.33066907387547e-16
"legacy","unbalanced n, larger n with smaller SD",5,"2.2, 1.7, 1.3, 1.0","0.000, 0.404, 0.807, 1.211",0.161450646031022,"0.3128, 0.3842, 0.4922, 0.6304",0
"brunner","balanced n, unequal SD",1,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75",0.0265900845509652,"0.4324, 0.4843, 0.5246, 0.5587",-4.44089209850063e-16
"brunner","balanced n, unequal SD",2,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75",0.0441491230034315,"0.4123, 0.4805, 0.5324, 0.5748",-2.22044604925031e-16
"brunner","balanced n, unequal SD",3,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75",0.0197890196262274,"0.4409, 0.4884, 0.5199, 0.5508",-7.7715611723761e-16
"brunner","balanced n, unequal SD",4,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75",0.0113604094555053,"0.4557, 0.4923, 0.5116, 0.5404",4.44089209850063e-16
"brunner","balanced n, unequal SD",5,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75",0.00697328148323577,"0.4672, 0.4969, 0.5007, 0.5352",4.44089209850063e-16
"brunner","unbalanced n, larger n with larger SD",1,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75",0.0207469295274485,"0.4168, 0.4653, 0.5075, 0.5402",7.7715611723761e-16
"brunner","unbalanced n, larger n with larger SD",2,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75",0.0340797724619372,"0.3926, 0.4569, 0.5087, 0.5518",3.33066907387547e-16
"brunner","unbalanced n, larger n with larger SD",3,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75",0.0164793877208754,"0.4255, 0.4709, 0.5047, 0.5366",-3.88578058618805e-16
"brunner","unbalanced n, larger n with larger SD",4,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75",0.00955182743012061,"0.4436, 0.4804, 0.5001, 0.5292",1.11022302462516e-16
"brunner","unbalanced n, larger n with larger SD",5,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75",0.00614561493404989,"0.4589, 0.4872, 0.4931, 0.5260",1.22124532708767e-15
"brunner","unbalanced n, larger n with smaller SD",1,"2.2361, 2.0000, 1.4142, 1.0000","0.00, 0.25, 0.50, 0.75",0.023763362260414,"0.4253, 0.4592, 0.4956, 0.5502",2.22044604925031e-16
"brunner","unbalanced n, larger n with smaller SD",2,"2.2361, 2.0000, 1.4142, 1.0000","0.00, 0.25, 0.50, 0.75",0.0403509020731761,"0.4029, 0.4463, 0.4946, 0.5653",-1.11022302462516e-16
"brunner","unbalanced n, larger n with smaller SD",3,"2.2361, 2.0000, 1.4142, 1.0000","0.00, 0.25, 0.50, 0.75",0.0354798431882569,"0.4108, 0.4477, 0.4955, 0.5613",-1.66533453693773e-16
"brunner","unbalanced n, larger n with smaller SD",4,"2.2361, 2.0000, 1.4142, 1.0000","0.00, 0.25, 0.50, 0.75",0.0501058763090329,"0.3956, 0.4353, 0.4960, 0.5725",4.44089209850063e-16
"brunner","unbalanced n, larger n with smaller SD",5,"2.2361, 2.0000, 1.4142, 1.0000","0.00, 0.25, 0.50, 0.75",0.0929233152752884,"0.3615, 0.4104, 0.4929, 0.5997",5.55111512312578e-16
"omega_fixed","balanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0709388288502989,"0.3967, 0.4656, 0.5349, 0.6028",-1.11022302462516e-16
"omega_fixed","balanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.106389750204329,"0.3735, 0.4576, 0.5430, 0.6258",2.22044604925031e-16
"omega_fixed","balanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0781308011261851,"0.3913, 0.4642, 0.5367, 0.6077",4.44089209850063e-16
"omega_fixed","balanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0838223090986975,"0.3878, 0.4627, 0.5374, 0.6121",-2.22044604925031e-16
"omega_fixed","balanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.127528867002683,"0.3625, 0.4522, 0.5472, 0.6382",6.66133814775094e-16
"omega_fixed","unbalanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2703, 0.5406, 0.8109",0.0703997583304282,"0.3575, 0.4315, 0.5054, 0.5797",1.99840144432528e-15
"omega_fixed","unbalanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2703, 0.5406, 0.8109",0.105629464841225,"0.3290, 0.4132, 0.5060, 0.5984",-7.7715611723761e-16
"omega_fixed","unbalanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2703, 0.5406, 0.8109",0.0772906594158681,"0.3524, 0.4272, 0.5049, 0.5841",-4.44089209850063e-16
"omega_fixed","unbalanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2703, 0.5406, 0.8109",0.0830989748800285,"0.3474, 0.4232, 0.5064, 0.5867",6.66133814775094e-16
"omega_fixed","unbalanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2703, 0.5406, 0.8109",0.124500646065182,"0.3149, 0.4061, 0.5056, 0.6073",2.22044604925031e-16
"omega_fixed","balanced n, unequal SD",1,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4035, 0.8070, 1.2105",0.0714155747999277,"0.3883, 0.4742, 0.5443, 0.5932",0
"omega_fixed","balanced n, unequal SD",2,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4035, 0.8070, 1.2105",0.113575948418769,"0.3590, 0.4678, 0.5555, 0.6177",-5.55111512312578e-17
"omega_fixed","balanced n, unequal SD",3,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4035, 0.8070, 1.2105",0.0681850476131209,"0.3903, 0.4754, 0.5440, 0.5903",-6.66133814775094e-16
"omega_fixed","balanced n, unequal SD",4,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4035, 0.8070, 1.2105",0.0565413880864032,"0.3979, 0.4815, 0.5403, 0.5803",0
"omega_fixed","balanced n, unequal SD",5,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4035, 0.8070, 1.2105",0.0679466446906175,"0.3862, 0.4820, 0.5474, 0.5844",1.11022302462516e-16
"omega_fixed","unbalanced n, larger n with larger SD",1,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4793, 0.9587, 1.4380",0.0787981781571033,"0.3371, 0.4333, 0.5146, 0.5782",-4.44089209850063e-16
"omega_fixed","unbalanced n, larger n with larger SD",2,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4793, 0.9587, 1.4380",0.12258643954263,"0.2978, 0.4155, 0.5186, 0.5976",-1.22124532708767e-15
"omega_fixed","unbalanced n, larger n with larger SD",3,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4793, 0.9587, 1.4380",0.0777908096041429,"0.3363, 0.4347, 0.5160, 0.5766",2.22044604925031e-16
"omega_fixed","unbalanced n, larger n with larger SD",4,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4793, 0.9587, 1.4380",0.0663259040678967,"0.3461, 0.4412, 0.5170, 0.5691",5.55111512312578e-16
"omega_fixed","unbalanced n, larger n with larger SD",5,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4793, 0.9587, 1.4380",0.0859248820935606,"0.3219, 0.4355, 0.5206, 0.5773",-6.66133814775094e-16
"omega_fixed","unbalanced n, larger n with smaller SD",1,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652",0.0636912298771829,"0.3835, 0.4274, 0.4939, 0.5824",-3.33066907387547e-16
"omega_fixed","unbalanced n, larger n with smaller SD",2,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652",0.100910599412768,"0.3517, 0.4092, 0.4932, 0.6033",-1.11022302462516e-16
"omega_fixed","unbalanced n, larger n with smaller SD",3,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652",0.0809217585797323,"0.3663, 0.4184, 0.4952, 0.5919",0
"omega_fixed","unbalanced n, larger n with smaller SD",4,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652",0.0978028629273187,"0.3537, 0.4109, 0.4933, 0.6016",0
"omega_fixed","unbalanced n, larger n with smaller SD",5,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652",0.15369785519937,"0.3179, 0.3866, 0.4924, 0.6272",-1.11022302462516e-15
"etaH_fixed","balanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0703956698057136,"0.3975, 0.4651, 0.5347, 0.6027",6.66133814775094e-16
"etaH_fixed","balanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.0000, 0.1984, 0.3968, 0.5951",0.0697449338034167,"0.3985, 0.4650, 0.5338, 0.6028",1.11022302462516e-16
"etaH_fixed","balanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2384, 0.4767, 0.7151",0.0704474107299128,"0.3974, 0.4653, 0.5343, 0.6029",2.22044604925031e-16
"etaH_fixed","balanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2285, 0.4571, 0.6856",0.0712020675709594,"0.3969, 0.4652, 0.5343, 0.6035",-2.22044604925031e-16
"etaH_fixed","balanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.0000, 0.1762, 0.3524, 0.5285",0.0704773645401931,"0.3973, 0.4655, 0.5343, 0.6029",1.11022302462516e-16
"etaH_fixed","unbalanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2715, 0.5430, 0.8146",0.0707503588662695,"0.3588, 0.4304, 0.5047, 0.5805",-1.66533453693773e-16
"etaH_fixed","unbalanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2157, 0.4313, 0.6470",0.0712207000071929,"0.3579, 0.4297, 0.5058, 0.5802",-3.88578058618805e-16
"etaH_fixed","unbalanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2583, 0.5166, 0.7749",0.0691450528712567,"0.3596, 0.4311, 0.5057, 0.5790",4.44089209850063e-16
"etaH_fixed","unbalanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2472, 0.4944, 0.7416",0.070825412413679,"0.3575, 0.4308, 0.5056, 0.5799",1.11022302462516e-16
"etaH_fixed","unbalanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.0000, 0.1914, 0.3827, 0.5741",0.0699307635312135,"0.3599, 0.4309, 0.5041, 0.5803",0
"etaH_fixed","balanced n, unequal SD",1,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4007, 0.8015, 1.2022",0.071022164418493,"0.3886, 0.4741, 0.5444, 0.5929",-4.44089209850063e-16
"etaH_fixed","balanced n, unequal SD",2,"1.0, 1.3, 1.7, 2.2","0.0000, 0.3082, 0.6164, 0.9247",0.0712434822533335,"0.3879, 0.4757, 0.5428, 0.5936",-4.44089209850063e-16
"etaH_fixed","balanced n, unequal SD",3,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4108, 0.8216, 1.2324",0.0712576910542575,"0.3875, 0.4759, 0.5440, 0.5926",7.7715611723761e-16
