"alternative","n_per_group","delta","panel","skew","excess_kurtosis","group_means","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","rank_mc_se"
"onepoint",10,0,1,0,0,"0.000, 0.000, 0.000, 0.000",0.0491000000000003,0.0497199999999998,0.0520200000000007,0.0439600000000001,0.0507599999999998,0.0530600000000004,0.000916815340185798
"onepoint",10,0,2,0,6,"0.000, 0.000, 0.000, 0.000",0.0438799999999995,0.0356800000000005,0.0428399999999994,0.0452600000000003,0.0440400000000002,0.0510800000000004,0.000929640063680565
"onepoint",10,0,3,0.5,1,"0.000, 0.000, 0.000, 0.000",0.0497400000000001,0.0495199999999996,0.0519799999999997,0.0460200000000002,0.0510000000000003,0.0552799999999994,0.000937039589345084
"onepoint",10,0,4,1,1.6,"0.000, 0.000, 0.000, 0.000",0.0490200000000006,0.0524400000000002,0.0511200000000009,0.0458800000000007,0.0538800000000003,0.0554999999999994,0.000935681843363444
"onepoint",10,0,5,2,6.6,"0.000, 0.000, 0.000, 0.000",0.04346,0.0515399999999997,0.0462800000000001,0.0447200000000001,0.0506000000000003,0.0516799999999997,0.000924338916199032
"onepoint",10,0.2,1,0,0,"0.000, 0.000, 0.000, 0.200",0.0668199999999987,0.0657600000000014,0.0695200000000018,0.0590799999999988,0.0672199999999984,0.0711599999999984,0.00105441503782902
"onepoint",10,0.2,2,0,6,"0.000, 0.000, 0.000, 0.200",0.0624400000000004,0.0556000000000005,0.0619400000000001,0.0677000000000003,0.0661000000000005,0.0749599999999997,0.00112353647025809
"onepoint",10,0.2,3,0.5,1,"0.000, 0.000, 0.000, 0.200",0.0655400000000007,0.0626799999999998,0.0675599999999997,0.0599600000000005,0.0655400000000004,0.0711400000000002,0.00106174194981644
"onepoint",10,0.2,4,1,1.6,"0.000, 0.000, 0.000, 0.200",0.06616,0.0679600000000004,0.06786,0.0631,0.0717400000000005,0.0741400000000001,0.00108736737122281
"onepoint",10,0.2,5,2,6.6,"0.000, 0.000, 0.000, 0.200",0.0628000000000011,0.073360000000001,0.0662000000000001,0.0726399999999989,0.0790000000000012,0.0799400000000011,0.00116071900475523
"onepoint",10,0.4,1,0,0,"0.000, 0.000, 0.000, 0.400",0.1209,0.115199999999999,0.12356,0.10762,0.117160000000001,0.12544,0.00138591439562478
"onepoint",10,0.4,2,0,6,"0.000, 0.000, 0.000, 0.400",0.12618,0.126979999999999,0.128899999999999,0.15276,0.149,0.15908,0.00160887776042805
"onepoint",10,0.4,3,0.5,1,"0.000, 0.000, 0.000, 0.400",0.1222,0.11698,0.125659999999999,0.11536,0.12222,0.13192,0.00142865020491371
"onepoint",10,0.4,4,1,1.6,"0.000, 0.000, 0.000, 0.400",0.121339999999999,0.12282,0.124460000000001,0.119139999999999,0.13208,0.136300000000001,0.00144876264722693
"onepoint",10,0.4,5,2,6.6,"0.000, 0.000, 0.000, 0.400",0.127480000000001,0.14772,0.1367,0.178,0.18362,0.18556,0.00171064899964896
"onepoint",10,0.6,1,0,0,"0.000, 0.000, 0.000, 0.600",0.230219999999998,0.21488,0.234260000000001,0.205259999999999,0.217240000000001,0.236360000000001,0.00180625763610842
"onepoint",10,0.6,2,0,6,"0.000, 0.000, 0.000, 0.600",0.250740000000004,0.254920000000001,0.256980000000001,0.30742,0.298519999999999,0.31096,0.00206355491131203
"onepoint",10,0.6,3,0.5,1,"0.000, 0.000, 0.000, 0.600",0.229099999999999,0.21864,0.233019999999999,0.21854,0.22824,0.243739999999999,0.0018481356465368
"onepoint",10,0.6,4,1,1.6,"0.000, 0.000, 0.000, 0.600",0.2292,0.225500000000003,0.233859999999999,0.2313,0.24494,0.25524,0.00188573757453151
"onepoint",10,0.6,5,2,6.6,"0.000, 0.000, 0.000, 0.600",0.248960000000002,0.283200000000002,0.2674,0.36024,0.365460000000001,0.366659999999999,0.0021469380168044
"onepoint",10,0.8,1,0,0,"0.000, 0.000, 0.000, 0.800",0.3829,0.35234,0.385619999999999,0.344240000000001,0.35582,0.38794,0.00212480033132528
"onepoint",10,0.8,2,0,6,"0.000, 0.000, 0.000, 0.800",0.42592,0.434720000000001,0.43518,0.510180000000001,0.494780000000001,0.511860000000001,0.00223560447127841
"onepoint",10,0.8,3,0.5,1,"0.000, 0.000, 0.000, 0.800",0.395059999999999,0.37738,0.39924,0.381299999999999,0.390100000000001,0.413560000000001,0.00217214322732181
"onepoint",10,0.8,4,1,1.6,"0.000, 0.000, 0.000, 0.800",0.39246,0.38942,0.40006,0.40534,0.42132,0.4332,0.00219562967915812
"onepoint",10,0.8,5,2,6.6,"0.000, 0.000, 0.000, 0.800",0.421299999999999,0.47772,0.45156,0.589200000000001,0.596500000000001,0.59422,0.00220019708208151
"onepoint",10,1,1,0,0,"0.000, 0.000, 0.000, 1.000",0.56976,0.52514,0.57076,0.522560000000001,0.52924,0.57318,0.0022337907081909
"onepoint",10,1,2,0,6,"0.000, 0.000, 0.000, 1.000",0.604400000000001,0.60966,0.611520000000001,0.690180000000001,0.673780000000001,0.690879999999999,0.0020680017775621
"onepoint",10,1,3,0.5,1,"0.000, 0.000, 0.000, 1.000",0.575920000000002,0.55798,0.580540000000001,0.566560000000001,0.57396,0.596820000000002,0.00221616680960617
"onepoint",10,1,4,1,1.6,"0.000, 0.000, 0.000, 1.000",0.581300000000001,0.587700000000001,0.591159999999999,0.60758,0.62744,0.63226,0.00218369660713204
"onepoint",10,1,5,2,6.6,"0.000, 0.000, 0.000, 1.000",0.606519999999998,0.689479999999999,0.641560000000001,0.78728,0.79432,0.79158,0.00183013770847988
"onepoint",10,1.2,1,0,0,"0.000, 0.000, 0.000, 1.200",0.74758,0.69788,0.746959999999999,0.699,0.700979999999999,0.74794,0.00205133614992765
"onepoint",10,1.2,2,0,6,"0.000, 0.000, 0.000, 1.200",0.76408,0.752520000000001,0.76652,0.832440000000001,0.81488,0.83328,0.0016702313995372
"onepoint",10,1.2,3,0.5,1,"0.000, 0.000, 0.000, 1.200",0.750819999999999,0.73472,0.754860000000002,0.745619999999999,0.748960000000002,0.770140000000002,0.00194766945655571
"onepoint",10,1.2,4,1,1.6,"0.000, 0.000, 0.000, 1.200",0.752259999999997,0.770919999999999,0.764199999999999,0.787820000000001,0.803779999999999,0.80228,0.00182844003237732
"onepoint",10,1.2,5,2,6.6,"0.000, 0.000, 0.000, 1.200",0.768359999999999,0.85202,0.799620000000001,0.90812,0.91268,0.91066,0.00129180544665209
"onepoint",10,1.4,1,0,0,"0.000, 0.000, 0.000, 1.400",0.87724,0.83366,0.87518,0.83822,0.83572,0.87536,0.00164685902007427
"onepoint",10,1.4,2,0,6,"0.000, 0.000, 0.000, 1.400",0.87024,0.85304,0.87078,0.91428,0.9026,0.91726,0.001251975092404
"onepoint",10,1.4,3,0.5,1,"0.000, 0.000, 0.000, 1.400",0.879039999999998,0.868280000000001,0.88148,0.87814,0.87824,0.892400000000001,0.00146294320053788
"onepoint",10,1.4,4,1,1.6,"0.000, 0.000, 0.000, 1.400",0.88168,0.9012,0.89038,0.91014,0.920939999999999,0.91682,0.00127894628816069
"onepoint",10,1.4,5,2,6.6,"0.000, 0.000, 0.000, 1.400",0.8754,0.936099999999999,0.8977,0.964879999999999,0.967299999999999,0.966080000000001,0.000823244624640825
"onepoint",10,1.6,1,0,0,"0.000, 0.000, 0.000, 1.600",0.94986,0.920640000000001,0.9477,0.925779999999999,0.922320000000001,0.94786,0.0011722746401761
"onepoint",10,1.6,2,0,6,"0.000, 0.000, 0.000, 1.600",0.93598,0.91402,0.9346,0.95928,0.95108,0.9619,0.000883876480058157
"onepoint",10,1.6,3,0.5,1,"0.000, 0.000, 0.000, 1.600",0.949859999999999,0.945,0.951420000000001,0.95068,0.95094,0.957119999999999,0.00096837531567053
"onepoint",10,1.6,4,1,1.6,"0.000, 0.000, 0.000, 1.600",0.951060000000001,0.96602,0.956619999999999,0.96852,0.97472,0.9708,0.000780884237259275
"onepoint",10,1.6,5,2,6.6,"0.000, 0.000, 0.000, 1.600",0.942820000000001,0.97942,0.955180000000001,0.98894,0.98978,0.9894,0.000467710944922174
