"design","n_per_group","n_vector","multipliers","sd_per_group","shifts","panel","distribution","skew","excess_kurtosis","omega_sq","eta_h_sq","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se"
"balanced",10,"10, 10, 10, 10","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.072463768115942,0.0746925557092579,0.23162,0.00188664875162283,0.24102,0.00191274336804497
"balanced",10,"10, 10, 10, 10","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.072463768115942,0.0896314900814934,0.35638,0.00214183704142028,0.36722,0.00215578046934283
"balanced",10,"10, 10, 10, 10","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.072463768115942,0.0848558494720799,0.25488,0.0019489288627346,0.26458,0.00197270080650868
"balanced",10,"10, 10, 10, 10","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.072463768115942,0.0917700532155156,0.276,0.00199911980631477,0.28608,0.00202108007560314
"balanced",10,"10, 10, 10, 10","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.072463768115942,0.137344509062164,0.42766,0.00221254118334552,0.43402,0.002216513657075
"balanced",20,"20, 20, 20, 20","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.072463768115942,0.0606068180321082,0.48358,0.00223486189103488,0.48982,0.00223560447127841
"balanced",20,"20, 20, 20, 20","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.072463768115942,0.12849388303879,0.69436,0.00206021450533676,0.69874,0.00205184021015283
"balanced",20,"20, 20, 20, 20","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.072463768115942,0.0889324838142015,0.52768,0.00223263887630759,0.5335,0.00223104347783722
"balanced",20,"20, 20, 20, 20","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.072463768115942,0.0988134160973404,0.56752,0.00221558592521256,0.57276,0.00221226572725792
"balanced",20,"20, 20, 20, 20","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.072463768115942,0.129335877656071,0.7835,0.00184188897602434,0.7824,0.00184526550935089
"balanced",30,"30, 30, 30, 30","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.072463768115942,0.0509277591139213,0.68778,0.00207238351469992,0.69142,0.00206571238849942
"balanced",30,"30, 30, 30, 30","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.072463768115942,0.0774262569871829,0.87792,0.00146407973553355,0.88,0.0014532721699668
"balanced",30,"30, 30, 30, 30","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.072463768115942,0.051124876253929,0.73188,0.0019810687297517,0.73502,0.00197365447634585
"balanced",30,"30, 30, 30, 30","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.072463768115942,0.0920417059548684,0.7739,0.00187071531773277,0.77572,0.00186536045631937
"balanced",30,"30, 30, 30, 30","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.072463768115942,0.149672374748273,0.93618,0.00109313318127299,0.93442,0.00110706154842448
"balanced",50,"50, 50, 50, 50","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.072463768115942,0.0849997480379426,0.9084,0.0012900344181455,0.90964,0.00128214718655855
"balanced",50,"50, 50, 50, 50","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.072463768115942,0.111266059463987,0.98604,0.000524692641457834,0.98638,0.000518353076580046
"balanced",50,"50, 50, 50, 50","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.072463768115942,0.0764873282611559,0.93464,0.00110533316606352,0.93542,0.0010991762697584
"balanced",50,"50, 50, 50, 50","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.072463768115942,0.0913881671936465,0.95464,0.00093061775611687,0.95464,0.00093061775611687
"balanced",50,"50, 50, 50, 50","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.072463768115942,0.124976703978695,0.99674,0.000254926357993835,0.99654,0.000262603442475533
"balanced",100,"100, 100, 100, 100","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.072463768115942,0.0936067850958911,0.99792,0.000203748550915091,0.99794,0.000202768656354968
"balanced",100,"100, 100, 100, 100","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.072463768115942,0.130665681168012,0.99994,3.46399769052894e-05,0.99994,3.46399769052894e-05
"balanced",100,"100, 100, 100, 100","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.072463768115942,0.0768981087553881,0.9993,0.000118280175853778,0.9993,0.000118280175853778
"balanced",100,"100, 100, 100, 100","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.072463768115942,0.0701412535524066,0.99966,8.24480927614468e-05,0.99966,8.24480927614468e-05
"balanced",100,"100, 100, 100, 100","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.072463768115942,0.102196586161143,1,0,1,0
"balanced",200,"200, 200, 200, 200","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.072463768115942,0.0554836227015225,1,0,1,0
"balanced",200,"200, 200, 200, 200","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.072463768115942,0.0936793689891398,1,0,1,0
"balanced",200,"200, 200, 200, 200","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.072463768115942,0.075200816818173,1,0,1,0
"balanced",200,"200, 200, 200, 200","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.072463768115942,0.073265219590461,1,0,1,0
"balanced",200,"200, 200, 200, 200","1, 1, 1, 1","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.072463768115942,0.125431398095346,1,0,1,0
"unbalanced, ascending",10,"5, 8, 12, 15","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.072463768115942,0.0648929026276042,0.2495,0.00193519895617996,0.18732,0.00174488519736973
"unbalanced, ascending",10,"5, 8, 12, 15","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.072463768115942,0.0797169468695695,0.36994,0.0021590942378692,0.28796,0.00202503846086932
"unbalanced, ascending",10,"5, 8, 12, 15","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.072463768115942,0.0630743738099836,0.2877,0.00202449356630245,0.20616,0.00180918796370084
"unbalanced, ascending",10,"5, 8, 12, 15","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.072463768115942,0.0682982593797637,0.31684,0.0020806365103016,0.20702,0.00181197527356198
"unbalanced, ascending",10,"5, 8, 12, 15","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.072463768115942,0.0961484233648736,0.49994,0.0022360679614001,0.28282,0.0020141144336904
"unbalanced, ascending",20,"10, 16, 24, 30","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.072463768115942,0.0699082819783218,0.48768,0.00223538908291152,0.37616,0.00216639633677681
"unbalanced, ascending",20,"10, 16, 24, 30","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.072463768115942,0.0853532192701174,0.68594,0.0020756989974464,0.55718,0.00222139797244888
"unbalanced, ascending",20,"10, 16, 24, 30","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.072463768115942,0.0723556265252605,0.5443,0.0022272741636359,0.40388,0.00219436070690304
"unbalanced, ascending",20,"10, 16, 24, 30","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.072463768115942,0.0516410799216905,0.58992,0.00219961084558155,0.4101,0.00219962719568567
"unbalanced, ascending",20,"10, 16, 24, 30","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.072463768115942,0.140512209279073,0.79502,0.00180534317845666,0.55454,0.00222272530196603
"unbalanced, ascending",30,"15, 24, 36, 45","0.5, 0.8, 1.2, 1.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.072463768115942,0.0461149435928082,0.68064,0.00208503808310544,0.55978,0.00222002861062645
